Parsing + chunking /Users/seyednavidmirnourilangeroudi/Downloads/mabhas9-1402-08_260814_023938.pdf ...
  OCR page 249/652 (877 chars)
  OCR page 250/652 (898 chars)
  OCR page 251/652 (964 chars)
  OCR page 252/652 (845 chars)
  OCR page 253/652 (735 chars)
  OCR page 254/652 (856 chars)
  OCR page 255/652 (1030 chars)
  OCR page 256/652 (1009 chars)
  OCR page 257/652 (1074 chars)
  OCR page 258/652 (775 chars)
  OCR page 259/652 (702 chars)
  OCR page 260/652 (0 chars)
  OCR page 261/652 (763 chars)
  OCR page 262/652 (641 chars)
  OCR page 263/652 (558 chars)
  OCR page 264/652 (1128 chars)
  OCR page 265/652 (1309 chars)
  OCR page 266/652 (997 chars)
  OCR page 267/652 (1185 chars)
  OCR page 268/652 (1363 chars)
  OCR page 269/652 (1225 chars)
  OCR page 270/652 (795 chars)
  OCR page 271/652 (1338 chars)
  OCR page 272/652 (1566 chars)
  OCR page 273/652 (434 chars)
  OCR page 274/652 (1020 chars)
  OCR page 275/652 (918 chars)
  OCR page 276/652 (1036 chars)
  OCR page 277/652 (1123 chars)
  OCR page 278/652 (1119 chars)
  OCR page 279/652 (1061 chars)
  OCR page 280/652 (1192 chars)
  OCR page 281/652 (1016 chars)
  OCR page 282/652 (1130 chars)
  OCR page 283/652 (756 chars)
  OCR page 284/652 (882 chars)
  OCR page 285/652 (918 chars)
  OCR page 286/652 (838 chars)
  OCR page 287/652 (887 chars)
  OCR page 288/652 (1192 chars)
  OCR page 289/652 (1229 chars)
  OCR page 290/652 (1084 chars)
  OCR page 291/652 (827 chars)
  OCR page 292/652 (1333 chars)
  OCR page 293/652 (325 chars)
  OCR page 294/652 (0 chars)
  OCR page 295/652 (499 chars)
  OCR page 296/652 (912 chars)
  OCR page 297/652 (1268 chars)
  OCR page 298/652 (972 chars)
  OCR page 299/652 (1055 chars)
  OCR page 300/652 (827 chars)
  OCR page 301/652 (903 chars)
  OCR page 302/652 (628 chars)
  OCR page 303/652 (705 chars)
  OCR page 304/652 (919 chars)
  OCR page 305/652 (972 chars)
  OCR page 306/652 (241 chars)
  OCR page 307/652 (841 chars)
  OCR page 308/652 (1091 chars)
  OCR page 309/652 (1326 chars)
  OCR page 310/652 (1319 chars)
  OCR page 311/652 (722 chars)
  OCR page 312/652 (610 chars)
  OCR page 313/652 (824 chars)
  OCR page 314/652 (1489 chars)
  OCR page 315/652 (914 chars)
  OCR page 316/652 (436 chars)
  OCR page 317/652 (1231 chars)
  OCR page 318/652 (615 chars)
  OCR page 319/652 (161 chars)
  OCR page 320/652 (394 chars)
  OCR page 321/652 (330 chars)
